ambito_nombre,embalse_nombre,mes,2020,2021,media_5,media_10
Cantábrico Occidental,Doiras,8,82.88888888888889,82.4,84.97,93.26
Cantábrico Occidental,Doiras,9,78.0,75.0,80.28,86.89
Cantábrico Occidental,Doiras,10,75.875,71.25,76.07000000000001,81.575
Cantábrico Occidental,Doiras,11,79.55555555555556,76.8,79.21000000000001,85.03999999999999
Cantábrico Occidental,Doiras,12,81.88888888888889,82.75,82.96000000000001,87.405
Cantábrico Occidental,Rioseco,1,3.0833333333333335,3.125,2.95,2.95
Cantábrico Occidental,Rioseco,2,3.4166666666666665,3.5,3.375,3.375
Cantábrico Occidental,Rioseco,3,3.066666666666667,3.0,2.9875,2.9875
Cantábrico Occidental,Rioseco,4,3.1666666666666665,3.0,3.2375,3.2375
Cantábrico Occidental,Rioseco,5,3.090909090909091,3.142857142857143,2.9625,2.9625
Cantábrico Occidental,Rioseco,6,3.6,3.4,3.7375,3.7375
Cantábrico Occidental,Rioseco,7,3.125,3.5,3.1125,3.1125
Cantábrico Occidental,Rioseco,8,2.6666666666666665,2.8,2.5125,2.5125
Cantábrico Occidental,Rioseco,9,2.5555555555555554,3.0,2.4899999999999998,2.4899999999999998
Cantábrico Occidental,Rioseco,10,2.875,2.75,2.71,2.71
Cantábrico Occidental,Rioseco,11,2.7777777777777777,3.0,2.9,2.9
Cantábrico Occidental,Rioseco,12,3.6666666666666665,3.75,3.4899999999999998,3.4899999999999998
Cantábrico Occidental,Salime,1,155.91666666666666,139.25,153.42000000000002,169.26
Cantábrico Occidental,Salime,2,182.5,180.875,202.3,212.025
Cantábrico Occidental,Salime,3,178.66666666666666,165.8,208.17,214.7
Cantábrico Occidental,Salime,4,172.41666666666666,149.0,214.56,223.065
Cantábrico Occidental,Salime,5,185.1818181818182,155.57142857142858,229.89000000000001,237.68
Cantábrico Occidental,Salime,6,214.9,214.8,234.35999999999999,234.65
Cantábrico Occidental,Salime,7,199.75,205.5,220.58,214.10999999999999
Cantábrico Occidental,Salime,8,178.0,177.8,194.63,185.805
Cantábrico Occidental,Salime,9,152.11111111111111,137.75,159.77,159.025
Cantábrico Occidental,Salime,10,127.75,113.75,127.54,133.935
Cantábrico Occidental,Salime,11,125.77777777777777,109.8,135.01,139.55
Cantábrico Occidental,Salime,12,152.88888888888889,151.25,159.82999999999998,150.60999999999999
Cantábrico Occidental,Tanes,1,23.166666666666668,23.375,23.93,25.755000000000003
Cantábrico Occidental,Tanes,2,25.083333333333332,24.75,25.55,27.025
Cantábrico Occidental,Tanes,3,28.133333333333333,28.5,28.05,29.335
Cantábrico Occidental,Tanes,4,28.916666666666668,29.0,30.02,31.514999999999997
Cantábrico Occidental,Tanes,5,31.545454545454547,31.571428571428573,32.089999999999996,33.265
Cantábrico Occidental,Tanes,6,32.9,33.0,33.160000000000004,34.565
Cantábrico Occidental,Tanes,7,32.625,32.5,33.13,33.635000000000005
Cantábrico Occidental,Tanes,8,29.555555555555557,30.4,29.6,29.955000000000002
Cantábrico Occidental,Tanes,9,25.77777777777778,26.0,26.47,26.064999999999998
Cantábrico Occidental,Tanes,10,26.375,24.5,24.23,22.715
Cantábrico Occidental,Tanes,11,25.333333333333332,25.0,25.45,23.68
Cantábrico Occidental,Tanes,12,23.77777777777778,23.75,23.39,24.985
Cantábrico Oriental,Añarbe,1,29.583333333333332,30.0,30.080000000000002,31.855
Cantábrico Oriental,Añarbe,2,29.333333333333332,30.625,31.45,32.75
